Cow;days;milk_fit_conc;milk_real_conc;fat_fit_conc;fat_real_conc;protein_fit_conc;protein_real_conc;fit_price;real_price
67388;114;34,87991257;50,57838469;4,303074523;4,536540974;3,296547789;3,477491265;10,81212347;16,81471395
67388;115;34,8223232;50,49487597;4,304114703;4,53763759;3,299130525;3,480215764;10,80188698;16,79859873
67388;116;34,76469077;50,41130479;4,305178166;4,538758752;3,301711381;3,48293828;10,7916436;16,78247258
67388;117;34,70702252;50,32768168;4,306264454;4,539903977;3,304290186;3,485658633;10,78139427;16,76633704
67388;118;34,64932548;50,24401682;4,30737312;4,541072796;3,306866776;3,488376649;10,77113995;16,7501936
67388;119;34,59160643;50,16032004;4,308503734;4,542264751;3,309440995;3,491092163;10,76088155;16,73404372
67388;120;34,5338719;50,07660082;4,309655873;4,543479401;3,312012692;3,493805018;10,75061995;16,71788882
67388;121;34,47612823;49,99286833;4,310829132;4,544716315;3,314581725;3,496515062;10,74035604;16,70173026
67388;122;34,41838151;49,90913143;4,312023112;4,545975076;3,317147958;3,499222152;10,73009064;16,68556939
67388;123;34,36063765;49,82539868;4,313237429;4,547255277;3,319711258;3,501926149;10,71982459;16,66940752
67388;124;34,30290236;49,74167834;4,314471708;4,548556523;3,322271502;3,504626921;10,70955868;16,65324591
67388;125;34,24518114;49,65797841;4,315725585;4,54987843;3,32482857;3,507324343;10,69929371;16,63708582
67388;126;34,18747931;49,57430661;4,316998706;4,551220624;3,327382347;3,510018295;10,68903041;16,62092843
67388;127;34,12980202;49,4906704;4,318290726;4,552582744;3,329932726;3,512708661;10,67876955;16,60477494
67388;128;34,07215426;49,40707698;4,319601309;4,553964434;3,332479602;3,515395332;10,66851184;16,58862648
67388;129;34,01454082;49,32353335;4,32093013;4,55536535;3,335022876;3,518078203;10,65825798;16,57248417
67388;130;33,95696635;49,24004622;4,32227687;4,556785159;3,337562452;3,520757173;10,64800867;16,5563491
67388;131;33,89943535;49,15662213;4,323641221;4,558223533;3,34009824;3,523432147;10,63776457;16,54022233
67388;132;33,84195215;49,07326736;4,325022881;4,559680156;3,342630153;3,526103034;10,62752634;16,52410489
67388;133;33,78452097;48,989988;4,326421556;4,561154718;3,345158109;3,528769746;10,61729461;16,5079978
67388;134;33,72714585;48,90678995;4,327836963;4,562646918;3,347682029;3,531432201;10,60707001;16,49190203
67388;135;33,66983072;48,82367888;4,329268821;4,564156463;3,350201836;3,534090318;10,59685313;16,47581854
67388;136;33,61257938;48,74066032;4,330716859;4,565683066;3,352717461;3,536744021;10,58664458;16,45974828
67388;137;33,55539549;48,65773956;4,332180814;4,567226448;3,355228833;3,53939324;10,57644492;16,44369214
67388;138;33,49828261;48,57492177;4,333660427;4,568786339;3,357735888;3,542037904;10,56625473;16,42765102
67388;139;33,44124415;48,4922119;4,335155446;4,570362472;3,360238563;3,544677947;10,55607455;16,41162578
